surrounding words	9-20103-S
sweat gland	36-56875-B
sweat or to fill a house to the rafters 成语 saw	36-56606-S
sweat poured off him	28-49993-B,28-50088-B
sweat rash	44-15719-B
sweater	36-15412-S
sweatheart	25-12062-B
sweating all over	1-21589-B
sweating from shame	25-43821-B
sweating like a pig	36-56328-B
sweating like rain 成语 saw	36-56328-B
swede	42-61476-B
sweden	13-43010-S,30-40386-S,42-61435-B
swedish car company	37-3462-S
swedish helsingfors	60-8776-S
swedish language	42-61527-B
swedish tammerfors	15-52577-S
sweep	8-65146-S,22-27288-S,26-44876-S,28-10583-S,28-11251-S,47-16151-S
sweep across	35-8473-S
sweep against crime	38-60848-S
sweep away	9-38287-S,35-8473-S,55-15614-B
sweep away evil	28-11342-S
sweep away often fig 	28-11251-S
sweep past	28-20564-S
sweep the tombs of one s ancestors	1-48103-S,28-10642-S
sweep through asia	22-27211-S
sweep up	11-26049-S
sweeper	28-11447-S
sweeping	10-7626-B
sweeping festival	38-61380-S
sweeps away the fallen leaves 成语 saw	47-16151-S
sweeps clean	30-46964-S
sweet	18-59644-B,42-40891-S,43-13149-B,43-14702-B,43-16948-B,43-17426-B,43-17869-B,54-0-S,69-24798-B
sweet and agreeable	18-52857-B
sweet and sour	43-17753-B,48-61576-B
sweet and sour fish	48-61761-B
sweet and sour meat pork	13-26729-B
sweet and sour pork	43-17803-B,48-61624-B,48-61688-B
sweet and spicy shredded pork	70-38807-B
sweet basil	53-46512-S
sweet basil ocimum basilicum	50-55948-B,50-61925-B
sweet but insincere words	53-60773-B
sweet flag	36-45857-S,54-29298-S
sweet fruit of siraitia grosvenorii formerly momordica grosvenori	50-60255-B
sweet given on a happy occasion esp wedding	14-8955-B
sweet nothings to one another	11-28395-S
sweet potato	21-32424-B,43-15161-B,43-57798-B,44-45361-B,49-12928-B,55-13946-B
sweet sedge or sweet flag	36-45857-B,54-29298-B
sweet smell	69-25062-B
sweet smelling grass	55-27150-B
sweet speech and honeyed words 成语 saw	43-17594-B
sweet syrup	71-12693-S
sweet talking	66-12279-B
sweet wine	63-39153-B,63-51372-B
sweet words	43-17471-B,43-17527-B
sweeten	9-58223-B
sweetener	17-44266-S,66-5291-S
sweetener food additive	43-17021-B
sweetheart	25-28392-B,25-32736-B,26-3758-B,44-49225-S
sweethearts	25-12375-B
sweetness	43-16977-B,43-17243-B
sweets	48-60819-B
swell	21-8844-B,39-53871-S,39-54127-B,52-35556-S,52-49647-S,66-38059-S
swell on steaming of hard rice grain	8-47509-S
swelling	38-32024-S,52-41445-B,52-41508-B
swelling of foot	52-46905-B
swelling of internal organ	52-11197-B
swelling of soft tissue due to internal hemorrage	56-28921-B
swelling or lump on skin	44-5381-B
swelling water	40-17011-B
swept away	60-56650-S
swept forward wing on jet fighter	9-20727-B
swept past	44-8168-B
swift	9-38426-B,9-64292-S,20-706-B,24-47444-B,40-13575-B,41-43068-S,49-48840-B,67-14642-B,71-2113-B
swift and fierce	9-38469-B
swift current	38-43947-B
swift family	67-14642-S
swift gallop on horses	69-51504-S
swiftly	40-12896-S,68-61155-B,69-54479-S
swiftly moving	68-60477-B
swim	37-49070-S,39-6893-S,39-7026-B
swim bladder	70-39007-B,70-47025-B
swim bladder of fish	70-37792-S
swim trunks	37-49213-B
swim under water	37-28185-B
swimming	37-49070-B,53-11020-S,53-57940-S,56-9092-S
swimming breaststroke	56-116-B
swimming competition e g to cross river or lake	48-571-B
swimming pond	37-49110-B
swimming pool	39-6969-B,39-7065-B
swimsuit	37-49158-B,39-7124-B
swindle	27-31213-B,29-10284-S,58-6544-S,58-19163-S,58-19206-S,59-63133-B,69-53447-S,69-53771-S
swindler	36-59905-S,36-60008-B,69-53722-B
swine	20-52736-S,22-3357-S,23-52772-B,58-58454-S,59-22625-B,59-24464-B,59-25457-B,71-47254-S
swine borne disease	59-26251-S
swine fever	55-29502-S
swine vesicular disease svd	59-25777-B
swing	21-23049-S,26-54366-S,29-29543-B,45-14367-S,45-14561-S,47-14193-S,68-8267-S,68-8297-B,68-9904-S
swing dance	28-53967-B
swing door	23-49781-B
swing golf	28-49724-B
swing in a swing	45-14561-S
swingboat	38-11915-B
swinging rings	29-30640-B
swings	11-59061-S
swings you gain on the roundabouts	29-39887-S
swire hong kong banking giant	17-56902-S
swirl	39-52082-B,39-55977-B
swirl in the air of thickly falling snowflakes	49-24409-S
swirl of dust	11-26205-S
swirl up e g a sandstorm	11-27084-S
swish	27-18314-S
swiss army knife	42-61750-B
swiss city	55-42271-S
swiss mathematical family	59-29124-S
swiss person	42-61635-B
swiss pharmaceutical company	61-14112-S
swiss roll	42-61694-B
swiss ski resort	62-54232-S
swiss tennis star	59-46777-S
switch	3-68838-S,3-69302-S,30-60905-S,32-17584-B,36-26440-S,61-24420-B,62-50704-S,65-21183-B,65-43716-S,67-38431-S,67-38655-B,67-38710-S
switch box	65-47575-B
switch off	9-26648-S,65-55487-S
switch on	26-50181-S,62-15552-S
switch or circuit breaker	65-47422-S
switch over	62-14903-S
switch sides	32-48488-S
switch telecommunications	3-69452-B
switch to	61-21259-B
switch to a job one was not trained for	10-60459-B
switchboard	50-33842-B
switchboard operator	28-27456-B
switched ethernet	3-69133-B
switched network	3-69586-B
switched port	3-69525-B
switched telephone network	7-55571-S,7-62042-S
switched virtual circuit	3-69660-B
switching	8-57359-S
switching technology	3-69375-B
switchman	26-55472-B
switzerland	4-58508-S,4-59087-S,5-21303-S,22-4493-S,22-66486-S,37-3074-S,37-56371-S,42-61590-B
swivel chair	61-25038-B
swivel table	61-21792-B
swollen	26-48362-S,37-36817-B,49-12321-S,52-35556-B,52-35621-B,52-41413-B,52-45999-S,52-49616-B,52-52855-B
swollen face	71-52376-S
swollen headed	68-39317-B
swoon	31-58148-B,31-58288-S,35-61858-B
swoop	1-17915-S
sword	9-5844-S,9-43649-S,20-29002-S,30-29047-S,31-8583-S,32-52556-S,44-36868-S,63-59624-S,64-32499-S,64-35307-B,64-40064-B,64-43454-S,64-56657-B,69-34024-S
sword and dragon sabre	5-63326-S
sword cuts through tangled hemp 成语 saw	24-47601-S,24-47790-S
sword dropped overboard 成语 saw	9-14997-S
sword giving bearer plenipotentiary powers	1-49910-S,21-7081-S
sword handle	64-59502-S
sword play	17-59293-S
sword potter s clay to gather	26-15167-S
sword society	17-6926-S
sword 成语 saw	42-59084-S
swordfish	48-27778-B
swords	4-457-S,13-49179-S
swords drawn and bows bent 成语 saw	9-43838-S
swords 成语 saw	8-519-S
sworn brother	45-7016-B
sworn brotherhood	45-6944-S,45-7367-S,64-14614-B
sworn brothers	26-65271-B,27-45683-S,55-46515-S,64-14685-S
sworn testimony	19-55602-B
sycamore	34-46557-B
sycophant	22-3635-B,60-37876-B
sydney	25-6408-B
sygyt overtone singing	57-15160-B
syllabic diminutive suffix	7-21726-S
syllabic script	68-15174-B
syllabic unit	3-64992-S
syllabic unit in verse	68-14710-S
syllable	13-56184-B,14-5834-B,21-15772-S,43-56589-S,48-9461-S,48-10492-S,48-11631-S,48-13220-S,51-66213-S,51-66705-S,64-777-S,64-2596-S,65-29524-S,67-68639-S,68-15132-B,68-17332-S,68-17332-S,68-17732-S
syllable excluding initial consonant and tone	68-17732-S
syllable having no initial consonant starting directly with the medial vowel	67-21243-S
syllable must be classical first or second tone 平聲 平声	27-16295-S
syllables	1-28740-S,3-55053-S
syllables in writing	62-22510-S
syllogism deduction in logic	1-36364-B
sylvatica	34-24978-S,34-25963-S
sylvestris	53-50073-S
sylvian fissure	16-43843-S,16-43994-S
sylvian fissure a main division of the brain	16-43627-S,16-43735-S
symbiosis	7-71923-B,7-71966-B
symbol	15-28471-S,17-59378-S,19-4320-B,19-5960-S,32-10604-S,34-55578-S,34-55899-B,34-55960-B,48-5931-B,48-7037-B,56-44476-B,59-23618-B,61-19478-S,68-14660-S,68-14882-S
symbol for standard deviation in statistics	57-18644-B
symbol in a particular typeface	19-5113-S
symbol of extreme suffering	56-26909-S
symbol of good luck	14-44714-B,66-64437-S
symbol of hong kong	49-29561-S
symbol of peace	35-157-B
symbol of the alchemist s art	41-173-B
symbol of youth and beauty	44-63484-S
symbol or communism or proletariat	49-9996-S
symbol to identify share coupon	52-10587-S
symbolic	59-23786-B
symbolic logic	30-23312-B
symbolic of the terrestrial branches	43-28967-S
symbolism	59-23718-B
symbolize	34-55960-B,59-23618-S
symbolizing the emperor of china	8-12368-S
symbolizing war dead	40-48390-S
symbols	68-15517-S
symmetric character 囍 similar to 喜喜 as symbol of good luck	66-64437-S
symmetrical	20-53628-B
symmetry	7-43583-S,20-53628-B,20-53683-B,20-53738-S,61-18869-S
sympathetic	32-30957-B
sympathetic nervous system	3-68412-B
sympathetic response to sth	8-209-B
sympathetic vibration	58-45854-B
sympathize	12-47632-B,25-28106-B,25-57062-B,45-62695-B,70-7253-S
sympathy	4-17332-S,11-27935-B,12-47632-B,24-34563-S,25-643-B,25-51534-S,26-41240-S
sympathy with a like minded person in distress	53-50755-S,53-50932-S
symphony	4-823-B,4-868-B,4-923-B,34-49541-S,47-63451-S
symphony orchestra	4-1048-B
symposium	22-65153-B,57-63483-B
symptom	24-22725-B,39-32262-S,44-13209-B
symptom of a disease	44-9806-B,44-11698-B,44-12525-B
symptom of an illness	44-12889-B
symptomatic	44-12951-B
symptoms	27-6674-S
symptoms but not the root cause	37-24607-S
symptoms of a disease	34-53242-S
sympton	24-23782-B
synagogue	42-14646-B,42-14713-B
synaptic	47-53833-S
sync	42-59713-S
synchronized swimming	53-57940-B
synchronous	12-48775-B
synchronous digital hierarchy	12-48896-B
synchrotron	12-48820-B
syncline geol	12-63264-B
syndicate	16-11814-B,51-60521-B,71-32220-S
syndicate loan	61-33456-B
syndication	4-46841-B
syndrome	2-65048-S,12-38860-S,13-52254-S,25-36074-S,39-48183-S,39-48628-S,44-12834-B,44-16180-S,49-63483-S,55-24763-S,55-24986-S,56-46472-S,67-62980-S,67-63070-S
syndrome child	13-52186-S
syndrome or cardiopulmonary syndrome	39-48183-S,39-48628-S
syndrome pain in the hands due to pressure on the median nerve	52-38801-S
syndrome prrs	55-29502-S
synergy	10-64100-B,49-63944-B
synonym	12-50761-B,12-50866-B,12-50917-B,12-50968-B,61-48686-B
synopsis	34-13440-B
synopsis of a play or film	58-32304-B
synoptic gospels i e matthew	48-7241-B
syntactic analysis	12-5937-B
syntactic awareness	12-6008-B
syntactic cue	31-26510-S
syntax	12-5899-B,43-36012-B
synthesis	12-33516-B,12-33744-S,49-63540-B,49-63812-B,49-63987-B,58-28237-S,68-42127-S
synthesis model	40-5203-S
synthesize	49-63153-S,64-48203-S
synthesized	49-63153-B
synthesizer	12-33612-B
synthetic	4-16900-B,12-33516-B
synthetic fiber	4-17088-B,12-33881-B
synthetic penicillin	43-40606-S
synthetic reasoning	49-63812-B
synthetic rubber	12-33668-B
syphilis	34-11065-B
syr darya	64-46506-B
syracuse	30-608-B,67-16208-B
syria	4-37588-S,15-58781-S,30-450-B,59-29203-S
syria 敘利亞 叙利亚	30-332-S
syriac language from c 2nd century bc	30-497-B
syriac script	30-497-S
syriacus	34-26645-S,34-47052-S,55-15441-S
syringe	37-44331-B
syringia vulgaris	1-26155-S
syrrhaptes tibetanus	36-15119-S,57-22028-S
syrup	35-32736-S,42-31741-S,48-61103-B,48-61483-B,67-46328-B,69-6780-B,71-12693-S
syrup hfcs	70-16064-S
system	1-32678-S,3-56988-S,3-68412-S,5-7582-S,5-41465-S,5-44743-S,5-53092-S,7-20922-S,7-48488-S,7-52325-S,8-51708-S,9-10752-B,9-68797-S,10-13364-S,10-15335-S,10-43888-S,10-47269-S,10-47656-S,10-47715-S,10-48058-S,11-43612-S,13-17910-S,14-39058-S,15-14627-S,17-307-S,17-62148-S,17-68188-S,19-16980-S,19-64678-S,20-38684-S,22-35072-S,22-67113-S,23-27840-S,24-17443-S,25-50972-S,27-53242-S,29-20766-S,30-27008-S,32-1513-S,32-24841-S,33-67448-S,34-5299-S,35-43379-S,35-44924-S,36-45327-S,38-29387-S,38-40830-S,40-17884-S,42-24648-S,44-50454-S,44-51305-S,44-56920-S,45-11686-S,46-8785-S,46-60099-S,47-21384-S,48-0-S,48-5477-S,48-45280-S,49-1294-B,49-1584-B,49-38511-S,49-60918-S,49-60988-S,50-7505-S,50-8284-S,50-9242-S,50-16982-S,50-34856-S,51-63630-S,51-67171-S,52-44483-S,53-142-S,54-43437-S,56-44700-S,57-441-B,57-6712-S,57-36186-S,57-61234-S,58-26669-S,59-3577-S,61-2282-S,61-12575-S,62-13333-S,62-27384-S,64-15178-S,65-36587-S,66-55112-S,66-58703-S,67-32121-S,67-34664-S,68-30719-S,70-5384-B,70-5709-B,70-8682-B,71-23578-S
system an administrative system organized on basis of households	5-38017-S
system and institutions	37-29453-S
system cbs	13-42605-S
system cns	2-74078-S
system combining platonism with mysticism	30-49944-S
system expressing the phonetic value of a chinese character using two other characters	11-44977-S
system for a building	6-59387-S
system for chinese characters in a dictionary	35-12699-S
system for chinese devised by zhao yuanren in 1926	15-13119-S
system geol	12-2728-S,18-38592-S,39-55482-S
system geol 	57-8988-S
system geological strata laid down during the last 12000 years	7-37373-S
system geom 	22-64859-S
system glonass	7-39609-S
system gps	7-38905-S,43-6504-S,56-37661-S
system in schools	3-43246-S
system in south australia	16-29346-S
system interconnection profile	29-55093-S
system introduced in taiwan in 2003	62-11110-S
system math 	3-42571-S
system math phys 	49-58007-S
system of ancient china	3-56914-S
system of appeals to higher court	20-22102-B
system of appointing national minority hereditary headmen in the yuan	15-30019-B
system of beliefs	62-51187-S
system of cantonese and other southern languages	3-20412-S
system of chinese historiography	1-38373-S
system of compulsory registration	26-24601-S,26-24682-S
system of enfeoffment	8-51708-B
system of equations	30-63743-B
system of five waterways around tianjin	38-20724-S
system of government	7-71345-S,29-58075-B
system of job responsibility	59-40579-B
system of languages	11-20357-S
system of languages incl arabic	65-25051-S
system of ownership	26-28812-B
system of payment partly in kind and partly in cash	10-14843-S
system of polar coordinates	34-34945-B
system of polynomial equations	16-65424-S
system of quotas for farm output per household	10-16630-B
system of representing spoken sounds	34-56392-B,58-5667-B
system of rites	47-8045-B
system of ropes through tackle to hold up an awning	12-44089-S
system of units	15-16123-S
system of wei of the northern dynasties 北魏 and tang 唐 dynasties	15-48042-S
system of weights and measures	56-41267-B
system of writing numbers to a base	62-28709-S
system of yogic meditation	33-45540-S
system or institution	9-11112-S
system organized on basis of households	5-38017-S
system romanization of chinese	18-46100-S,18-46208-S,18-48277-S,18-48374-S,68-10428-S
system s	65-36317-S
system traditional indian social division	47-32324-S
system us missile guidance	19-43442-S
systematic	32-38067-B,49-1624-B
systematically	30-16007-S,32-35170-B
systematically and in full detail	1-1470-S
systematics	8-59986-B
systemic agent	7-41842-B
systemic gas	7-41842-B
systemic poison	7-41842-B
systems	64-28830-S
systems company	24-55625-S
systems interconnection	65-36655-S
systolic blood pressure	24-38337-B,29-42098-B
sytem martial art	55-47538-S
szechuan cuisine	21-50374-B
szechuan in southwest china	14-48804-S,14-49097-S
sào 髝髞	70-24280-S
são tomé and príncipe	51-45861-B
sān fú	8-34980-S
sīmǎ rángjū	12-25604-B
sīmǎ rángjū of qí	12-25419-S
sīmǎ rángjū s art of war	12-25419-S
sōseki 1867 1916	16-41490-S
sū doku	3-18315-S,30-23114-S
t	2-10783-S,2-26657-S,2-27787-S,2-29398-S,2-48077-S,31-37730-S,31-37810-S,37-9795-S,37-9795-S,38-65776-S,40-47697-S,51-5679-S,52-25670-S,54-24002-S,54-24002-S
t advance or retreat 成语 saw	62-31596-S
t agree with that	20-46297-S
t avoid	2-8354-S
t avoid the battle ax 成语 saw	2-35456-S
t be avoided	7-20222-S
t be better	8-8604-S
t be bought for one thousand in gold 成语 saw	10-52099-S
t be changed	43-28366-S,43-28618-S
t be done	61-34639-S
t believe in magic harry potter	71-14880-S
t believe it 成语 saw	40-51364-S
t believe that 	45-42040-S
t bilisi	48-13346-B
t blame it	24-64501-S
t boil 俗语 common saying	13-45271-S
t bone steak	1-26243-B
t bother to see me out	2-33387-S
t built in a day	17-10568-S
t buy happiness	64-16439-S
t buy it slang	2-31739-S
t buy you an interval of time 俗谚 common saying	20-31887-S
t buy you love	64-16697-S
t buy you time	20-31887-S
t care less	39-35230-S
t catch up with	60-28706-S
t celebrate too soon	34-49233-S
t compare the present with the past	4-23224-S
t compare with	36-8845-S
t deserve so much praise	62-48249-S
t deserve your praise	2-12885-S
t despair and you will find a way through	17-50257-S
t do	2-11051-S,2-27617-S
t do any work	19-40415-S
t do anything about it	37-10903-S,37-11887-S
t do anything that might arouse suspicion	43-9041-S
t do it without authorization	32-56406-S
t done sth for a long time	3-10011-S
t eat them	14-14139-S,58-33016-S
t everything	64-16697-S
t exist	37-9795-S
t expect	37-9465-S
t expect instant success	1-13126-S
t fight	2-11437-S,2-11527-S
t find	26-58846-S,37-9588-S
t find any way of doing sth	42-38323-S
t finish	65-29825-S
t follow the track of an overturned cart	24-1970-S
t gain knowledge without practice	2-24768-S
t get anywhere without equipment	21-60253-S
t get carried away with flowery speech to the detriment of what you want to say	1-67379-S,1-67577-S
t get involved	9-4076-S
t get it	2-3302-S
t get you clean	60-45420-S
t girder	1-25045-B
t give a damn about it	39-35230-S
t go wrong	37-11989-S
t go yet	25-50428-S
t handle it	42-38323-S
t have anything to do with him	9-4076-S
t help	2-19129-S,2-19193-S
t help doing it	60-55228-S
t help doing sth	2-22541-S
t help it	2-8354-S
t hurt	40-49492-S
t ien hua	9-41515-S
t interfere	21-4883-S
t it	52-27216-S
t it mean that 	59-18448-S
t judge a man by his looks	4-5395-S
t judge true or false 成语 saw	45-41030-S
t junction	1-25172-B
t keep apart of friends or lovers abroad	17-49697-S
t keep up with	60-28706-S
t know that	54-24271-S
t know to every question	1-4844-S
t know what s what	2-31022-S
t lee	33-5728-S
t let rhetoric spoil the message 成语 saw	1-67379-S,1-67577-S
t listen to reason	1-76968-S
t live up to its reputation	12-53351-S
t make a lot of difference	11-50697-S
t make it through	62-43085-S
t make out	45-37356-S
t matter	2-27835-S,37-11243-S,37-12082-S
t matter what you call it	13-19119-S,13-19275-S
t mention it	2-5650-S,2-19053-S,2-30001-S,9-3489-S,9-3711-S
t mention x at the same time as y	12-48043-S
t mind it	50-54334-S
t often hear	47-49843-S
t overdo it	62-64661-S
t pass judgement until you ve seen the end	55-5582-S,55-5802-S
t recognise mt taishan 成语 saw	2-30888-S
t recognize tall or short 成语 saw	2-31022-S
t refrain from	2-22541-S
t remember	57-65749-S
t say for sure	58-31422-S
t see	45-37356-S
t see 成语 saw	32-37334-S
t shaped	1-24920-B
t shirt	25-643-S
t sit under overhanging eaves 成语 saw	15-50613-S
t slip	28-42865-S
t speak of two things on the same day 成语 saw	1-76013-S,32-57086-S
t square	1-24962-B
t stand	11-59370-S
t stand on ceremony	9-3489-S
t stay in danger area	15-50613-S
t step basic dance position	1-25100-B
t take it too seriously	43-66415-S,43-66574-S
t tell how many	2-20939-S
t tell me 	67-13709-S
t tell the really dangerous enemy from his external appearance	13-28660-S
t thank sb enough 成语 saw	25-42681-S
t that so	2-14563-S
t think that	4-55846-S
t tie your shoe laces in a melon patch	43-9041-S
t turn out the way you want or plan	3-31677-S
t understand a word 成语 saw	1-16525-S
t wait for	25-1039-S,25-1203-S
t wash your dirty linen in public	19-64414-S
t what they used to be	4-23224-S
t work	12-26651-S,56-31128-S
t worry	9-4360-S
t worth it	1-71998-S
t wrap fire	49-21694-S
t 恤 is commonly used for english t shirt	25-643-B
t 成语 saw	45-15767-S
t 胸腺嘧啶 in dna	71-5050-S,71-5219-S,71-5386-S
ta	37-12561-S,45-44367-S,47-6736-S,64-24829-S
ta er	16-17852-S
taan area in taiwan	17-14587-S
taan village in taiwan	17-14919-S
tab forming a carpenter s joint	11-17563-S,34-40388-S
tab of a web browser	51-39605-B
tabanus trigonus	55-57505-B
tabasco sauce	34-36186-B
tabasco south mexican state	16-17970-B
tabbed joint	8-32638-S
tabernacle biblical word for a meeting hall or tent	32-23419-B
tabescens mushroom used in trad chinese medicine	4-4807-S
table	3-12092-S,3-13564-S,3-17679-S,6-62839-S,8-28875-S,12-19694-S,12-21138-S,29-36061-S,33-64038-S,34-4031-B,34-4251-S,34-4832-B,34-5068-B,34-16762-S,34-24594-B,35-11644-S,37-54555-S,45-40827-S,46-17923-S,49-53575-S,52-14498-B,53-20552-B,54-10772-S,54-10772-S,56-45118-B,58-40914-S,61-21792-S,62-27509-S,65-41782-S,65-42002-S,69-5427-S,69-13501-S,69-13501-S,69-25836-S,71-5976-S,71-6359-S
table and cheer 成语 saw	27-29721-S
table and shout with praise 成语 saw	27-29594-S
table conference	15-23983-S
table for chinese character based on radical and stroke count	48-14366-S
table for games using balls	42-52090-B
table for wine goblets used by the duke of zhou hosting his vassals	15-57374-S
