sediment content	61-17816-B
seek common ground while holding back differences 成语 saw	36-53676-S
seek confirmation	36-54695-B
seek connection with the rich and powerful	29-32105-S
seek connections in high places	1-45851-S
seek contact with sb for one s own benefit	27-26553-S
seek employment	36-54502-B
seek fame	11-58040-B
seek fame 成语 saw	62-56008-S
seek for	4-47120-S
seek happiness elsewhere euphemism for extra marital sex	12-7123-S
seek influence with sb via family members possibly dishonest or underhand	60-9778-S
seek justice	43-43667-S
seek knowledge	36-53867-S
seek life in death 成语 saw	35-56175-S
seek luck and avoid calamity 成语 saw	60-31337-S
seek medical advice	21-10763-S
seek nothing but profit 成语 saw	13-54683-S
seek one s livelihood	58-51168-S
seek out	57-34050-S
seek out the real nature based on the name 成语 saw	24-23191-S
seek pleasure	4-2202-S
seek profit	41-30809-B
seek proof	36-54695-B
seek refuge from calamities	61-64951-S
seek shelter	27-1050-S
seek the cause in oneself rather than sb else	11-50999-S
seek to solve an equation	36-54609-S
seek truth from facts 成语 saw	20-11970-S
seeker	53-59957-S
seeking	6-22543-S,13-54683-S,41-25531-S
seeking instant benefit 成语 saw	24-57735-B
seeking military	20-45739-S
seeking to repay the kindness 成语 saw	25-40891-S
seeking 成语 saw	20-45428-S
seeks advancement by any means	18-43086-S
seem	4-62181-S,4-62254-S,6-50232-S,6-50232-B,6-53896-S,18-26605-S,18-29752-B,23-60288-S,53-66108-S,68-50620-S
seem familiar	45-49770-S
seem like	18-26721-S
seemingly	4-62254-B,23-60221-B,23-61570-B,70-24526-B
seemingly familiar	4-62488-B
seemingly unimportant	2-32250-B
seems	45-37928-S,45-38739-S
seems as if	4-62734-B
seems good 成语 saw	55-52848-S
seems inevitable	51-18512-S
seems not	22-56043-B
seems so	4-62421-S
seems that	45-37281-S,45-37928-S
seen	1-69809-S,2-28081-S,18-1699-S,18-1778-S,21-5086-S,22-32014-S,26-29712-B,43-18346-S,49-47105-S,50-50887-S,57-31413-S
seen before	9-20638-S
seen by or exposed to	57-29540-S
seen from the outside	24-11253-B
seen in company	27-54996-S
seen periodically	30-9778-B
seen that this is the case	12-16433-S
seen the end	55-5582-S,55-5802-S
seep	39-31873-S,39-32212-S
seep out	39-31968-S
seep through	39-45165-B,40-18672-B
seepage	39-32163-S,39-32382-B
seeped in	41-12973-B
seer	7-5827-B
sees	26-29712-S,26-29869-S
sees and hears	57-30720-S
sees fit	5-28970-S
sees the coffin 成语 saw	2-28312-S
seesaw	60-52230-B,68-8297-B
seethe	28-10138-S,60-17156-S
seething in anger	24-53585-B
sef	38-17575-S,38-18302-S
segment	4-32615-S,5-54643-S,9-21501-S,23-25795-S,23-35701-S,23-35784-S,24-191-S,30-22492-S,35-65142-B,41-44396-B,43-6615-S,48-28185-B,50-5995-S,50-17222-S
segment e g	10-41665-B
segment networking	63-64385-S
segment of annelid worms	43-6615-B
segment of curve	23-34097-S
segment of small intestine between the jejunum 空腸 空肠 and appendix 盲腸 盲肠	14-57381-S
segment 成语 saw	30-59714-S
segmental information	8-60375-B
segmentation fault	35-65542-B
segments	27-10115-S,48-28185-S
segments to complete a project dam	12-38481-S
segments 成语 saw	1-2914-S
segovia	16-19573-B
seigen go player	13-1024-S
seiko	48-53004-B
seine	16-20743-B
seismic defenses	27-7757-B
seismic measures	27-7757-S
seismic wave	15-46195-B
seismic zone	15-45822-B,15-46122-B,15-46251-B
seismic zone surrounding the pacific	40-23442-S
seismograph invented by zhang heng 张衡 in 132	5-63049-S,15-38912-S
seismological bureau	2-55481-S,2-57128-S,2-57261-S,15-4893-S
seismologist	15-45972-B
seismology	4-69861-S,15-45894-B
seismometer	15-45767-B
seize	18-17771-S,26-63885-S,26-64333-S,26-65687-B,27-194-S,27-54700-S,28-4752-S,28-4987-S,28-5191-S,28-7420-S,28-9822-B,28-9849-B,28-52985-B,28-61432-S,29-23527-S,29-37126-B,29-42166-S,47-59654-S,48-33028-S,48-33123-S,50-17906-S,50-17999-S,50-18049-S,50-42357-B,61-50347-B,62-26396-B,62-26443-B,67-49022-S
seize a camp	9-63109-S
seize a stronghold	9-62634-S
seize an opportunity	3-14567-S,5-63638-S,5-64506-S,60-19355-B,68-22231-S
seize bird or animal	29-36959-B
seize by force	9-62410-S,9-62487-S
seize every minute and second 成语 saw	8-56936-B
seize initiative	28-14025-S
seize power	13-63687-S,18-17526-S
seize power of the whole country	13-63360-S,13-63511-S
seize sb by both arms	28-1565-S
seize territory	45-12041-S
seize the chance	3-13447-S
seize the opportune moment	2-3406-B
seize the opportunity	3-13005-S
seize the opportunity esp to do sth bad	65-10505-S
seize the strategic high ground	28-61753-S
seize the throne	48-33069-S
seize total victory	17-27686-S
seize with the hand	29-3265-S
seizure	44-7238-B
seizure of food from landlords during famines before liberation	12-27103-S
seizure of vietnam	2-75273-S
sejong daewang in 1418 to introduce hangeul	57-64353-S
sejong the great 1397 1450 4th king of korean choson dynasty	2-38496-B
seldom	23-65983-B,67-12110-B
select	9-12204-S,27-32886-B,27-64911-S,27-66501-B,28-4707-S,28-11761-B,28-20658-S,28-35249-S,29-2889-S,29-18712-S,29-25594-B,29-31435-S,38-36258-S,51-21683-S,53-63679-B,62-68067-S,62-69936-S,62-70223-S,63-50-S,63-343-S,64-31288-B
select a date	29-18903-B
select and adopt	28-21206-B
select and assign	28-42348-S
select and edict	50-22165-S
select and edit	50-22106-B
select and recruit	27-32939-S
select and use	63-764-S
select courses	63-1358-S
select for appointment	62-68010-B
select for promotion	28-39306-S
select item from a list	71-37621-S
select the best	63-291-S
selected for a job etc	4-17631-S
selected for admission	62-70157-B
selected passages	28-64558-S
selected works	30-31168-B
selected writing	66-57324-B
selection	38-42195-S,38-42195-S,53-9756-S,63-979-S
selection of thousands of fruits and nuts	33-36437-S
selection on computer	11-54996-S
selector	63-1087-B
selenium s	46-22614-B
self	22-1372-B,25-32798-S,29-60429-S,30-67012-B,35-54757-S,40-52785-S,52-62992-B,53-5098-B,53-6215-B,53-13227-B
self address after one s surname	33-42186-S
self analysis	9-27080-B
self assessment	53-4184-B
self awareness	45-14851-S,45-15577-S
self centred show off	17-27182-B
self composed	37-47504-B
self confidence	53-1117-B,53-1176-B
self contradictory	53-12531-B
self control	7-14954-B
self criticism	35-14324-B
self cultivation	5-49996-B
self defense	35-38306-S,35-48337-B,53-13355-B
self defense force	53-13400-B,53-35835-S
self deprecating	53-14086-B
self determination	36-21002-S,36-21508-B,42-20759-S
self discipline	46-40595-B
self employed	5-54021-B,53-11463-B
self employed individual or private firm	5-54103-S
self esteem	53-4959-B,53-5026-B,53-6592-B,53-14301-B
self evident	2-29084-S
self government league	12-19272-S
self immolation	53-8653-B
self importance 成语 saw	18-33425-S
self important	53-13585-S
self improvement by diligent study from unlettered soldier to top strategist of wu	12-69308-S
self indulgent	44-2218-B
self interested	10-7295-S
self introduction	53-6252-B
self loading weapon	53-13488-B
self made genius	53-4812-S
self portrait	53-12144-B
self possessed	7-29413-B,38-38683-B
self regulation	53-5770-B
self regulation organization	53-5817-B
self reliance	53-1480-B
self reliant	53-12814-B,53-12932-B
self renunciation	28-6773-B
self respect	53-4959-B,53-5026-B,68-1850-B
self respect of old person	51-30099-B
self restraint	9-17383-B,38-38683-B
self restraint and devotion to public duties 成语 saw	9-17453-B,18-2800-B
self sacrifice	51-13357-S
self sacrifice to help others	28-6773-B
self satisfied	37-26317-S,37-51036-B,53-8595-B
self seeking	13-54683-B
self service	53-1602-B
self service meal	53-1647-B
self strengthening movement period of reforms in china c 1861 1894	37-49919-B,53-5644-B
self study	53-1235-B,53-4750-B
self styled genius 成语 saw	53-575-B
self sufficiency	53-12976-B
self sufficient	53-14852-B
self sustaining	53-12814-B
self to do sth	46-26333-S
selfconfident 成语 saw	42-56035-S
selfcontradictory expression	61-66571-S
selfish	16-54802-S,47-11719-B,53-12628-B,53-12679-S
selfish departmentalism	32-60852-B
selfish derog 	24-36648-B
selfish desire	47-12895-B
selfish interest	47-11996-S
selfishly concerned with gaining advantages for oneself	10-7207-B
selfishly oversensitive	24-36648-B
selfishness	32-60852-S,53-12628-B
selfless	28-6773-B,40-58416-B
selfless dedication	9-17453-B,18-2800-B
selflessness	9-17383-B,24-45609-B
selina chow chow liang shuk yee 1945 	13-12853-B
sell	5-54933-S,5-62129-S,8-37035-S,8-44147-S,13-53952-S,13-54535-S,16-37787-S,27-31142-S,28-32873-S,28-55578-S,37-25651-B,49-62411-S,58-6063-S,59-38330-S,59-38619-S,59-58412-S,64-33491-S,64-33585-S
sell abroad	16-51544-S
sell anything	40-53365-S
sell at a big discount	17-35649-S
sell at a loss	55-56282-S
sell at a profit	5-61061-S
sell at a profit derog 	5-56009-S
sell at auction	27-29187-S
sell at discount	20-50514-S
sell at marked price	34-52494-S,34-56179-S
sell by date	32-34167-B
sell by tender	34-56179-S
sell cheaply	59-59303-S
sell e g at a fair	21-22886-S
sell everything	40-53365-S
sell for	13-53983-S
sell future assets	27-28113-S
sell goods	13-54369-S
sell grain from granary	49-1214-B
sell high	5-59148-S
sell hot food freshly cooked	41-20682-S
sell into slavery	28-20357-S
sell millions of copies	64-34045-S
sell narcotics	59-38553-S
sell off	8-45572-S,59-58834-S
sell off one s property	59-11660-B
sell off sth	27-10790-S
sell on account	59-54768-S,59-55013-S
sell on credit	59-54863-S
sell one s country	59-58609-S
sell one s estate	59-10725-S
sell oneself to the enemy	58-22059-S
sell or dispose of goods etc	52-32616-S
sell out capacity audience	39-37149-S
sell short i e to sell future assets	27-28113-S
sell to far away lands	62-63600-S
sell wholesale	60-52827-S,60-52978-S
seller	3-43167-S,13-54177-S,28-62151-S,28-62215-S,31-64328-S,31-64390-S,59-58442-B,59-58904-B,59-59038-S
seller s first offer	65-30212-B
sellers	28-17986-S
selling	5-54933-S,8-44147-S,59-45498-S
selling abroad more cheaply than cost price at home	27-27453-S
selling book	31-64390-S
selling on speculation	27-2399-S,27-2529-S
selling point	59-59214-B
selling price	13-53983-B
selling property	41-21894-S
selling rights	10-19174-S
selling various goods	67-6300-S
sells well	60-9660-S
semantic	58-25359-B,58-25436-B,58-26823-B
semantic analysis	58-26880-B
semantic categorization	58-26950-B
semantic search	15-55361-B
semantic space	58-27079-B
semantics	16-47490-S,58-27027-B
semaphore	31-3456-S,31-3756-B
semblance	16-50338-B,62-66905-S
semen	48-52303-B,48-54313-B
semester	19-18002-B,47-14479-S
semi	10-54408-B
semi able bodied or part time farm worker	10-55258-B
semi automatic	10-59956-B
semi axis	10-60635-B,10-61160-B
semi axis in coordinate geometry	35-34329-S
semi circular	10-55662-B
semi circular jade ornament	43-3632-B
semi civilized	10-61224-B
semi colonial	10-58901-B
semi colonial the official marxist description of china in the late qing and under the guomindang	10-56431-S
semi cursive script	56-33621-B,56-34638-B
semi employed	10-56226-B
semi feudal	10-56373-B
semi feudal and semi colonial the official marxist description of china in the late qing and under the guomindang	10-56431-B
semi final	24-16590-B
semi finished articles	10-57681-B
semi finished products	10-57681-B
semi fluid	10-59024-B
semi incomprehensible talk	3-10530-S
semi infinite	10-59078-B
semi literate	43-56589-B
semi manufactured goods	10-57681-B
semi official	10-56313-B
semi overt	10-55184-B
semi owner peasant	10-60015-B
semi precious stone	43-2255-B
semi skilled	10-59136-B
semi synthetic penicillin	43-40606-S
semi tenant peasant	10-60015-B
semicircle	10-55562-B
semicircular canal	10-60276-B
semicolon punct 	8-57841-B
semiconductor	10-56635-B
semiconductor detector	10-56692-B
semiconservative replication	10-54881-B
semifinals	10-58969-B,14-50046-B
semiliterate	10-58278-B
seminar	46-14920-B
seminary	46-56747-B,46-56823-B
seminary christian college	5-49794-B
semiochemical	10-21256-B
semiology	48-7086-B
semiotician	22-8693-S
semiotics	48-7086-B
semiprecious stone	42-37364-B,71-20428-S
semitic language	65-26306-B
semitic system of languages incl arabic	65-25051-S
semitone	10-61514-B,10-61556-B
semitorques	70-57591-S
semitransparent	10-60793-B
sen	2-69526-S,15-11636-S,34-28325-S
sen 1866 1925	19-14369-S,19-15769-S
sen 1868 1943	33-34331-S
sen and the guomindang against yuan shikai 袁世凱 袁世凯 and the northern warlords	3-37345-S
sen cambodian leader	37-61122-S
sen s birth place	2-69920-S
sen s mausoleum in nanjing	2-70349-S
sen s xinhai revolution and the fall of the qing dynasty	35-47133-S
sen s 孫中山 孙中山 three principles of the people late 1890s	1-36440-S
sen university guangzhou	2-69761-S
sen university kaohsiung	2-69761-S
sen university moscow	2-69761-S
senate	6-63011-B,11-38732-S,11-40736-B,51-3299-S
senator	11-40684-B
senator from california	48-31144-S
senator from idaho	52-13905-S
senator from vermont	6-27170-S
senator joseph i lieberman	9-5634-S
send	8-58952-B,20-1024-S,20-2955-S,21-63448-B,27-553-S,38-350-S,38-617-B,53-18876-S,61-63346-S,61-63880-S,62-60021-B,71-54770-B
send a greeting	13-62542-S
send a letter	27-2096-S,53-19051-B
send a letter here	5-17078-B
send a manuscript to the press	4-27502-S
send a message	20-2906-S
send a present of a feast	69-18362-B
send a telegram	62-15552-S
send back	44-27349-B,61-63140-S,61-64170-S,62-64107-S
send back information	11-56426-S
send by mail	63-26379-S
send by post	63-25481-S
send coal during snow 成语 saw	67-15570-S
send for sb promising employment	23-18543-S
send it to someone	26-64725-S
send message to sb	6-35517-S
send off	35-32518-B
send off player for a foul	8-38622-S
send on a mission	38-1382-B
send on errand	22-740-S
send one s love to sb	6-35937-S
send one s regards to	13-62617-S
send out	16-51122-S,44-25775-S,68-31807-B
send out in large quantities	12-64813-S
send out mail	20-2542-S
send out or up	8-10582-S
send out troops under a commander	8-39151-S
send punitive expedition	57-61751-B
send sb away	26-46980-S
send sb back to his country	62-64192-S
send sb back to his former post	19-41763-S
send sb on a mission	38-1445-S
send sth by mail	20-3008-S
send to	20-2691-S
send troops	8-35625-B
send troops to rescue the king	10-9467-S
send word	28-3037-S,28-60925-S,61-63569-S
sendai city in northeast japan	4-28182-B
sender	20-1353-B
sender of mail	44-26148-B
sending off	28-28306-S
sends a marriage sedan 花轎 花轿 to escort the bride	61-45175-S,61-45804-S
senegal	16-19511-B,62-52960-S
seng bank	24-67906-S,24-69852-S
seng index	24-69778-S
seng name	24-67853-S
sengyou active c 490 540	23-37626-S
senile	51-28226-B,51-28301-B,51-31066-B,71-61919-B
senile dementia	51-27887-B,51-27984-B,51-28078-B,66-8735-B
senility	31-15399-S
senior	4-57453-B,9-24523-B,22-48171-B,22-50209-B,40-49224-S
senior army commanders to go home to their provinces	33-13968-S
senior colonel	17-22533-B
senior concubine	59-42278-B
senior executive	64-17510-S
senior high school student	70-11220-B
senior i e eldest child or senior in rank	8-13460-B
senior imperial consort	35-35764-B
senior in rank	8-13460-S
senior in terms of depth of accumulated experience	59-52274-B
senior male figure	7-3460-S
senior military officers	70-20052-B
senior minister of many kingdoms or dynasties with varying roles	2-45332-S
senior monk	70-11710-S
senior official	65-13570-B,69-24376-B
senior or superior	2-31739-S,27-46438-S
senior or superior often in negative	59-45581-S
senior partner in sworn brotherhood	45-6944-B
senior ranking officer in chinese army	17-22533-B
senior statesmen s assembly	6-63011-B
seniority	4-40812-S,21-57597-B,22-49569-B,28-17934-B,59-52075-B
seniority among brothers	4-57644-S
seniority and prestige	59-51528-B
seniority in the family	42-47881-B,42-47952-B
seniority in the family or clan	61-15253-B
seniors	37-8569-S
seniors and juniors	20-42550-B
senkaku islands between taiwan and okinawa administered by japan	64-19918-S
senkaku islands japanese name for diaoyu islands	21-6641-B
sens	62-47160-S
sensation	25-41205-B,51-65363-S,51-67447-S,61-31686-B
sensational popularity of a new book	37-57098-S
sensationalism	14-31413-B
sensationalize 成语 saw	51-67318-S
sense	2-33682-S,6-20755-S,8-13741-S,22-31837-S,22-32444-S,23-14389-S,23-30028-S,25-15119-B,25-39135-S,25-39646-S,25-40596-B,25-43043-B,32-40149-S,32-65908-S,39-4208-S,42-9102-S,42-51878-S,57-41106-S,58-31491-S,58-54169-S,59-44688-S,62-51460-B
sense and sensibility	42-54929-B
sense and sound	20-46773-S
sense as the sun	68-26705-S
sense i e the five senses of sight 視 视	19-42587-B
sense of accomplishment	26-8323-B
sense of hearing	52-1519-B
sense of honour	23-4899-B
sense of humor	22-55756-B
sense of justice	4-26032-S,40-52184-S
sense of perspective	61-12846-S,61-13058-S
sense of pride	53-14210-S
sense of propriety	2-21818-S,62-31481-S
sense of reality	45-41690-B,59-60154-B
sense of responsibility	59-40651-B,59-40718-B
sense of shame	2-27954-S,40-51942-S,58-14834-B
sense of smell	14-23437-B,14-23474-B,53-16048-B
sense of sth	28-57419-S
sense of to acquire	23-23707-S
sense of touch	45-43522-S,57-55176-B
sense of uncertainty	44-4360-S
sense organ	25-40596-B
sense organs	25-43177-B
sense organs of traditional chinese medicine nose eyes lips tongue ears 鼻目口舌耳	3-48904-S
sense 成语 saw	23-45173-S
sensei	55-33280-S,55-33328-S
senseless	40-58205-B,50-49095-B
senses	25-39646-S,25-43177-S,29-16778-S,29-16955-S,45-23888-S
senses of sight 視 视	19-42587-S
sensibilities	25-15960-S,55-20268-S
sensibility	25-40724-B,42-54929-S
sensible	25-57991-B,31-24440-B,35-37919-B
sensible act	31-24508-B
sensible enthalpy thermodynamics	68-51240-B
sensing	62-58802-S
sensitive	7-9413-S,10-40636-S,25-38960-S,25-60102-B,29-62911-B,29-62911-S,29-62989-B,58-63037-B,67-51767-B
sensitive about one s reputation	25-38346-S
sensitive instruments	49-31443-B
sensitive materials	29-63056-B
sensitivity	28-26177-S,29-62989-B,67-51811-S
sensitivity to other s feelings	25-15960-B
sensor	6-36091-B,35-13854-B
sensory perception	41-60651-S
sensory receptor	25-39767-B
sensual	25-14738-B
sent by an organization	5-28604-S
sent from afar 成语 saw	10-51192-S,10-51499-S
sent in the mail	5-42961-S
sent on a diplomatic mission	8-35035-S
sent to prison	7-25134-S
sent to work in farms during cultural revolution	45-65043-S
sentence	1-4277-S,3-7907-S,5-20270-S,5-20731-S,8-64644-S,8-64708-B,9-2215-S,9-2773-S,12-5649-B,12-5797-B,12-66626-S,24-5248-S,24-10484-S,29-43661-S,32-42441-S,32-43511-S,39-0-S,44-4041-S,49-37126-S,52-13287-S,52-13379-S,58-24954-B,66-30045-S,67-67453-S
sentence after a verdict in a court of law	19-54036-S
sentence grammar	14-17534-S
sentence in former times	12-6218-S,12-6293-S
sentence making	62-17803-B
sentence of marx and engels communist manifesto	1-2375-S
sentence on a criminal	64-5065-S
sentence or clause	9-16471-S
sentence pattern in grammar	12-5734-B
sentence the accuser and free the falsely accused defendant	11-46092-S
sentence to death	9-2829-S
sentence to prison etc	9-2285-B
sentence with you see	65-65575-S
sentences	58-9331-S
sentences as rhetoric device	28-15214-S
sentences or clauses	56-50991-S
sentences with clear meaning	12-6080-S
sentencing dissidents	60-62819-S
sentiment	24-45531-S,25-15406-B,25-15744-B,36-21120-S
sentiment and face	25-15960-B
sentiment towards sb	25-14238-B
sentimental	25-15457-B,25-38878-B,44-15881-B,44-21440-B,50-46223-S
sentimental nonsense	40-57620-S
sentimental of poetry or art	12-66079-S
sentimental value	30-5968-S
sentimentally attached to	45-47061-B
